,risk_contribution
NVDA.US,0.054904172791421756
AMZN.US,0.034930284821668135
AAPL.US,0.03223113561865385
MSFT.US,0.03146762206128277
QQQ.US,0.029690336825625323
VTI.US,0.022937327798554865
VXUS.US,0.01763750401650929
BND.US,0.0013570679233357052
