,weight
NVDA.US,0.20040871202979998
QQQ.US,3.701356070744358e-17
VXUS.US,2.156306313367879e-17
VTI.US,4.419631827850166e-17
MSFT.US,0.12496364015139558
AMZN.US,1.7620576548798855e-17
AAPL.US,0.1478708539849481
BND.US,0.5267567938338565
