Date,ret_initial
2018-01-03,0.010353367215448833
2018-01-04,0.0033904741664771607
2018-01-05,0.00825575701266438
2018-01-08,0.005331043924782082
2018-01-09,-0.00023026837889773046
2018-01-10,-0.0013401229620341553
2018-01-11,0.005825962902272818
2018-01-12,0.0053686822710833915
2018-01-16,0.0037404571772223284
2018-01-17,0.010129881887415778
2018-01-18,0.0005196165715681759
2018-01-19,0.0034066377333813146
2018-01-22,0.009429138448744946
2018-01-23,0.000525295797473624
2018-01-24,-0.005229001012522919
2018-01-25,5.073755693575508e-05
2018-01-26,0.01729170962531219
2018-01-29,-0.0067840447349154145
2018-01-30,-0.012641573453809401
2018-01-31,0.0019580870368809825
2018-02-01,0.0002178147142817828
2018-02-02,-0.023800390007251915
2018-02-05,-0.04423255140402349
2018-02-06,0.02219536643590121
2018-02-07,-0.0048508656138275
2018-02-08,-0.03945089261939371
2018-02-09,0.01790820967449056
2018-02-12,0.013803017638153182
2018-02-13,0.0034243506052586657
2018-02-14,0.0103291385643371
2018-02-15,0.013627768216660747
2018-02-16,0.0006308909476443532
2018-02-20,-0.0037054632162087254
2018-02-21,-0.006283898016319498
2018-02-22,0.005834221592501299
2018-02-23,0.015644945864424872
2018-02-26,0.013044152207581006
2018-02-27,-0.011688029049389264
2018-02-28,-0.014351640918395492
2018-03-01,-0.015307137054203236
2018-03-02,0.00844395128024867
2018-03-05,0.006706752361982506
2018-03-06,-0.00013026784491303991
2018-03-07,0.0010398186575535373
2018-03-08,0.0045761818637909705
2018-03-09,0.015441152795435717
2018-03-12,0.005950432808256146
2018-03-13,-0.0047628316140305715
2018-03-14,-0.006820836110523684
2018-03-15,0.002161593307538888
2018-03-16,-0.003093781518177426
2018-03-19,-0.021161245862225654
2018-03-20,0.0024764320293999362
2018-03-21,-0.0005798177122155593
2018-03-22,-0.02914363392713798
2018-03-23,-0.019314333534016365
2018-03-26,0.023534043522274367
2018-03-27,-0.025176989040585684
2018-03-28,-0.007594545539140469
2018-03-29,0.014227918678465037
2018-04-02,-0.02480098687991394
2018-04-03,0.018401940094813232
2018-04-04,0.014084256466972232
2018-04-05,0.009372986852249531
2018-04-06,-0.022115670153252942
2018-04-09,0.0069199227879195
2018-04-10,0.022975840778082294
2018-04-11,-0.005478180392840518
2018-04-12,0.005290624043695563
2018-04-13,0.001915268861240814
2018-04-16,0.0066200781837480885
2018-04-17,0.011730163688918877
2018-04-18,-0.000812893487894052
2018-04-19,-0.00407587462207323
2018-04-20,-0.01245114972204113
2018-04-23,-0.00211969014305687
2018-04-24,-0.016257586829273085
2018-04-25,-0.0011081938016287798
2018-04-26,0.023272111971920653
2018-04-27,0.0029697353725216345
2018-04-30,-0.00774928416400155
2018-05-01,0.007016197010870238
2018-05-02,-0.005437562034130169
2018-05-03,-0.0016664184621194562
2018-05-04,0.013732218253111451
2018-05-07,0.00685849003293822
2018-05-08,0.00020047815238920371
2018-05-09,0.012338968089054776
2018-05-10,0.010970839791489618
2018-05-11,0.0031488104158087786
2018-05-14,0.00048291660434145346
2018-05-15,-0.011673911470937689
2018-05-16,0.0034148548782617573
2018-05-17,-0.0016003002288369728
2018-05-18,-0.005608136078160587
2018-05-21,0.00851432194629298
2018-05-22,-0.004659186353738125
2018-05-23,0.007237583672767217
2018-05-24,-0.0055216052796545866
2018-05-25,-0.0015955707104415358
2018-05-29,-0.006602838659689488
2018-05-30,0.015588708703505585
2018-05-31,-0.005252977223889905
2018-06-01,0.011251769384631528
2018-06-04,0.008096162778595187
2018-06-05,-0.00021150764921423748
2018-06-06,0.012791692098081424
2018-06-07,-0.0009379792455827662
2018-06-08,0.0030822683014988497
2018-06-11,0.0033914506536858635
2018-06-12,0.0031087892584356377
2018-06-13,-0.0017128840628606189
2018-06-14,0.006550855444281782
2018-06-15,-5.6959151731064326e-05
2018-06-18,0.00017010276011563622
2018-06-19,-0.005601284089340908
2018-06-20,0.004396313572437026
2018-06-21,-0.008888833838742194
2018-06-22,-0.0012355315356875497
2018-06-25,-0.016339107651395304
2018-06-26,0.004968658611043385
2018-06-27,-0.007512601431600466
2018-06-28,0.007127669470276025
2018-06-29,-0.0023883065974644054
2018-07-02,0.0031354691174316773
2018-07-03,-0.01088836917865434
2018-07-05,0.0118212713820952
2018-07-06,0.008449629068046211
2018-07-09,0.007447924492780792
2018-07-10,0.009825424683629031
2018-07-11,-0.009809397994523694
2018-07-12,0.0021570763226924825
2018-07-13,0.0008071647016710502
2018-07-16,-0.0023676483528003132
2018-07-17,0.008817597380866207
2018-07-18,-0.000130640570958012
2018-07-19,-0.007244916261803637
2018-07-20,0.00016056506135779666
2018-07-23,0.0011329890487497987
2018-07-24,0.009728682076133581
2018-07-25,0.014534095633344717
2018-07-26,-0.011603630362448953
2018-07-27,-0.009180639843966732
2018-07-30,-0.006376013858992508
2018-07-31,0.002313098334702859
2018-08-01,0.003346316450386984
2018-08-02,0.016568506111730684
2018-08-03,0.004988020966514511
2018-08-06,0.0039391230101714254
2018-08-07,0.006870429169710276
2018-08-08,-0.0007116228321992213
2018-08-09,-0.004469164100613339
2018-08-10,-0.004244164441290974
2018-08-13,-0.00041064310753558605
2018-08-14,0.0010792348405621044
2018-08-15,-0.007031172561757048
2018-08-16,0.005227449941232334
2018-08-17,-0.005206867221525654
2018-08-20,0.0006150823905853307
2018-08-21,0.002359240853453533
2018-08-22,0.0027681752738284377
2018-08-23,-0.0008691253803082245
2018-08-24,0.007417908375719909
2018-08-27,0.008360277171903309
2018-08-28,-0.0030423855307249504
2018-08-29,0.0062897424142261335
