Date,excess_return
2018-01-03,0.010244223101520188
2018-01-04,0.0033533119268272307
2018-01-05,0.0003535646663142093
2018-01-08,0.013415395099905037
2018-01-09,-0.006329983155455099
2018-01-10,0.002624673787834708
2018-01-11,0.00016874930002061007
2018-01-12,-0.005669500701000906
2018-01-16,-0.0010029762424718317
2018-01-17,0.002146644605461179
2018-01-18,0.004033738976644163
2018-01-19,0.0021099416627348277
2018-01-22,0.0025825011745984287
2018-01-23,0.009348362477109065
2018-01-24,-0.008482636720135196
2018-01-25,-0.004507987822584658
2018-01-26,0.00609126160227658
2018-01-29,0.00751655555659636
2018-01-30,0.0015596965935535164
2018-01-31,0.014086710707757077
2018-02-01,-0.008511768995590363
2018-02-02,-0.0006038633099084284
2018-02-05,-0.002885580125470813
2018-02-06,0.007468824499405318
2018-02-07,-0.0026049205254422905
2018-02-08,-0.006960144826720957
2018-02-09,0.0017678922414662845
2018-02-12,0.0019440764412462785
2018-02-13,0.005558717186323914
2018-02-14,0.008129230261926749
2018-02-15,0.003164049110385092
2018-02-16,-0.00752033052231289
2018-02-20,0.009558078533033622
2018-02-21,-0.0018424466292826132
2018-02-22,0.00640014997178503
2018-02-23,0.0015803490056361044
2018-02-26,0.0019469332731878019
2018-02-27,0.003070963245138192
2018-02-28,-0.0023883340415272077
2018-03-01,-0.00391766381432767
2018-03-02,0.0007987187340620875
2018-03-05,-0.0041550366718217865
2018-03-06,-0.0009983642334511099
2018-03-07,0.008143151080020818
2018-03-08,-0.005861056072702575
2018-03-09,-0.006640504752489906
2018-03-12,0.009953943969530811
2018-03-13,-0.0026918488491292324
2018-03-14,-0.001492344093506159
2018-03-15,0.0013499622171948666
2018-03-16,-0.0021475600506658866
2018-03-19,-0.00921597146357487
2018-03-20,-0.0007047526116683136
2018-03-21,0.0019846547118137934
2018-03-22,0.0004960243278078549
2018-03-23,-0.005003851720306606
2018-03-26,0.0018431604622378278
2018-03-27,-0.0250359457417786
2018-03-28,-0.01463885616449212
2018-03-29,0.010268189441501499
2018-04-02,-0.011632330005848991
2018-04-03,0.0030299927954888367
2018-04-04,0.007580930605031632
2018-04-05,0.007261689152614813
2018-04-06,-0.0021800422669519676
2018-04-09,-0.004427916414783006
2018-04-10,0.015631114069881873
2018-04-11,-0.0010554268167428773
2018-04-12,0.0010264573792942225
2018-04-13,0.00022703261754027917
2018-04-16,-0.005057282172374843
2018-04-17,0.008518169057755532
2018-04-18,0.0005856193851087375
2018-04-19,0.00016763856131309877
2018-04-20,-0.007309585284530708
2018-04-23,-0.005204942479849361
2018-04-24,-0.002230164069962206
2018-04-25,-0.009746657753565157
2018-04-26,0.02837902906060101
2018-04-27,0.007406171669779683
2018-04-30,0.0010689223119200618
2018-05-01,0.010685091186392815
2018-05-02,0.007144616482627042
2018-05-03,-0.000960837618130839
2018-05-04,0.006818886322737638
2018-05-07,0.011257448369746261
2018-05-08,0.0009078154973760856
2018-05-09,0.0041472151598702
2018-05-10,0.00023214260744475364
2018-05-11,-0.007942345908881076
2018-05-14,-0.0007178008966213017
2018-05-15,-0.004740382557072133
2018-05-16,0.002488419733161296
2018-05-17,-0.0013429955349937741
2018-05-18,-0.0018369264747884135
