,AAPL.US,MSFT.US,TSLA.US
AAPL.US,1.0,0.7101678209951001,0.4808586432459307
MSFT.US,0.7101678209951001,1.0,0.4381336988717267
TSLA.US,0.4808586432459307,0.4381336988717267,1.0
