Date,excess_return
2019-01-03,-0.03205105111602835
2019-01-04,0.015421881803241888
2019-01-07,0.009839610980710286
2019-01-08,-0.0001699200831430936
2019-01-09,0.008902566175098103
2019-01-10,0.0017430021236709923
2019-01-11,-0.004068279264447823
2019-01-14,-0.013585929755736432
2019-01-15,0.014938824426534714
2019-01-16,0.0043820476564063356
2019-01-17,-0.0020426445135613615
2019-01-18,-0.04944727973518426
2019-01-22,-0.004032404436196124
2019-01-23,-0.010057523521530406
2019-01-24,-0.0002740370784885728
2019-01-25,0.011980428965930063
2019-01-28,-0.0028371327598600456
2019-01-29,-0.007536285564678334
2019-01-30,0.03071446195462682
2019-01-31,-0.014257164274509366
2019-02-01,-3.889836582408445e-05
2019-02-04,0.012676980923025754
2019-02-05,0.015254745198675902
2019-02-06,-0.006602957098222784
2019-02-07,-0.009398866634417764
2019-02-08,-0.0013415297960711245
2019-02-11,0.00376601308857701
2019-02-12,-0.005768009389294559
2019-02-13,-0.008798323395019698
2019-02-14,-0.001025076573730706
2019-02-15,-0.0030677725650888714
2019-02-19,-0.0033230315353290165
2019-02-20,-0.004941420298521182
2019-02-21,-0.0037144657325021146
2019-02-22,0.00625516623636287
2019-02-25,0.007515678593909151
2019-02-26,0.002141534897060556
2019-02-27,0.019828305959201188
2019-02-28,0.0035180152938834772
2019-03-01,-0.027386936439467623
2019-03-04,-0.0060078780007860235
2019-03-05,-0.01126412921416368
2019-03-06,0.0038138609445251457
2019-03-07,0.0009071543640603768
2019-03-08,0.012237656389331978
2019-03-11,0.011989328294750745
2019-03-12,-0.00626777193483959
2019-03-13,0.004032100609091094
2019-03-14,0.005766795478798029
2019-03-15,-0.013532776808012938
2019-03-18,-0.0026009747533293597
2019-03-19,-0.005170320841097179
2019-03-20,0.013233688158285479
2019-03-21,0.009178476447820216
2019-03-22,-0.008085657474317626
2019-03-25,-0.00664643867164183
2019-03-26,-0.0008929436154942278
2019-03-27,0.013897547457696594
2019-03-28,0.0017310852131413581
2019-03-29,0.0001802026603088258
2019-04-01,0.004509312269692273
2019-04-02,0.0010283863960949633
2019-04-03,0.009890579103314662
2019-04-04,-0.031247828573283894
2019-04-05,0.007833289145342093
2019-04-08,0.0024921841819261306
2019-04-09,0.0012163911227694264
2019-04-10,0.00561332731760622
2019-04-11,-0.011400558939632098
2019-04-12,-0.0060555126596105735
2019-04-15,-0.00011696106516556615
2019-04-16,0.007381705078436754
2019-04-17,0.009095277570473459
2019-04-18,0.006043968585380291
2019-04-22,-0.011526101980252463
2019-04-23,0.0018888958369432558
2019-04-24,-0.006113455055797893
2019-04-25,-0.005685024469078334
2019-04-26,-0.021046274694826412
2019-04-29,0.007532230639391605
2019-04-30,-0.008583847914718815
2019-05-01,0.010411110292788442
2019-05-02,0.009992448572861523
2019-05-03,0.016339928380918613
2019-05-06,-0.0025025871543179843
2019-05-07,-0.009909884431183975
2019-05-08,-0.001596694670979633
2019-05-09,-0.0043913130528507125
2019-05-10,-0.008880157119917778
2019-05-13,-0.021523352344498682
2019-05-14,0.007760789307738859
2019-05-15,0.0024117220324183127
2019-05-16,-0.008377161007660134
2019-05-17,-0.02292439722363167
2019-05-20,-0.017510618974320453
2019-05-21,-0.001316312080744786
2019-05-22,-0.0218380234500779
2019-05-23,0.007467321627192917
2019-05-24,-0.011723507085043215
2019-05-28,0.004423345593594993
2019-05-29,0.00401945500310541
2019-05-30,-0.0018374062797238038
2019-05-31,-0.003365020454625646
2019-06-03,-0.022431759479479913
2019-06-04,0.026996055346626482
2019-06-05,0.009161930600831036
2019-06-06,0.019486887146792215
2019-06-07,0.005784251093468733
2019-06-10,0.01634214192043948
2019-06-11,0.009434620149932385
2019-06-12,-0.012762306186593944
2019-06-13,0.005253523578375422
2019-06-14,0.0006160172272834756
2019-06-17,0.01829179001942934
2019-06-18,0.0027870824511636947
2019-06-19,0.0005556294972293525
2019-06-20,-0.013793834925661552
2019-06-21,0.00379173485485033
2019-06-24,0.005520966064503474
2019-06-25,-0.011542159319291218
2019-06-26,0.008720624403484385
2019-06-27,0.0023110077334739243
2019-06-28,-0.007711178739648439
2019-07-01,0.006878499935806394
2019-07-02,-0.002378287774105499
2019-07-03,0.012322479731090942
2019-07-05,-0.0026873849573636104
2019-07-08,-0.005653545753677047
2019-07-09,-0.0007303837659964341
2019-07-10,0.014680424238114366
2019-07-11,-0.003849014358751475
2019-07-12,0.008401788447008968
2019-07-15,0.01425932385725918
2019-07-16,-0.003630162778859228
2019-07-17,0.006063926607842052
2019-07-18,-0.0012296114404769893
2019-07-19,0.007176420644130081
2019-07-22,0.0063263365688062505
2019-07-23,0.0033633471125356813
2019-07-24,0.004465054417902126
2019-07-25,-0.044499217136567674
2019-07-26,-0.003948869832867982
2019-07-29,0.015556641424683973
2019-07-30,0.00862965740871787
2019-07-31,0.007172977663853645
2019-08-01,-0.0049480895508681524
2019-08-02,-0.0016182557379753968
2019-08-05,-0.007318125291125299
2019-08-06,0.0020568703688514205
2019-08-07,0.00820586946782198
2019-08-08,0.003635205728784431
2019-08-09,-0.0034365077903764814
2019-08-12,-0.0019689075846408173
2019-08-13,0.014307509871786413
2019-08-14,-0.012125234353061745
2019-08-15,-0.011141732921143324
2019-08-16,0.00589792005512494
2019-08-19,0.010109641337670967
2019-08-20,0.00345345542958464
2019-08-21,-0.008150499682669158
2019-08-22,-0.0004292864385475972
2019-08-23,-0.01645323991840464
2019-08-26,0.006162892057683424
2019-08-27,-0.0005646538678973538
2019-08-28,-0.002900242474591715
2019-08-29,0.008570334277687053
