Date,ret_optimized
2019-01-03,-0.0594624375357904
2019-01-04,0.0470693037412324
2019-01-07,0.009247547326596118
2019-01-08,0.010576126992177578
2019-01-09,0.014566394472462501
2019-01-10,0.0016443543001804152
2019-01-11,-0.006031258358603455
2019-01-14,-0.015357653261642824
2019-01-15,0.025816782656713284
2019-01-16,0.007000611822385146
2019-01-17,0.006063941921657155
2019-01-18,-0.01362243830246639
2019-01-22,-0.01894693520791881
2019-01-23,-0.0007097090539601465
2019-01-24,-0.0027705526970113097
2019-01-25,0.0199960531349474
2019-01-28,-0.012792498174757002
2019-01-29,-0.012280234690888505
2019-01-30,0.047274198291511804
2019-01-31,-0.00638354408769369
2019-02-01,-0.0040377908948884544
2019-02-04,0.023975549752847873
2019-02-05,0.01750733822212066
2019-02-06,-0.007187293724753576
2019-02-07,-0.01576752290819642
2019-02-08,0.0012479574954027206
2019-02-11,1.2217634926458762e-06
2019-02-12,0.009822994919793514
2019-02-13,-0.003945715685937001
2019-02-14,-0.0007462279433018235
2019-02-15,0.006990348869899317
2019-02-19,-0.0003964014396229304
2019-02-20,-0.0015069271430567474
2019-02-21,0.000709281619248393
2019-02-22,0.012691154029785703
2019-02-25,0.007603292750064022
2019-02-26,0.0028038144534699725
2019-02-27,0.010360115097463459
2019-02-28,-0.0013889183873646354
2019-03-01,-0.007834393235689914
2019-03-04,-0.004726904649149578
2019-03-05,-0.008419956232373103
2019-03-06,-0.0021885491129929164
2019-03-07,-0.009553171178256117
2019-03-08,0.006163780051933212
2019-03-11,0.026680265425493052
2019-03-12,0.002757164488813384
2019-03-13,0.008650687718581676
2019-03-14,0.005150322959222962
2019-03-15,0.0011954954183313812
2019-03-18,0.006525950387482195
2019-03-19,-0.003979428723299925
2019-03-20,0.006805320568204678
2019-03-21,0.024430802544589344
2019-03-22,-0.025705070029706994
2019-03-25,-0.004882183317753797
2019-03-26,0.0019455317260963752
2019-03-27,0.0037372291555542903
2019-03-28,0.003523091998864151
2019-03-29,0.007016042619385767
2019-04-01,0.012541954000711881
2019-04-02,0.004127767010987717
2019-04-03,0.009186020733448628
2019-04-04,-0.016119637872699932
2019-04-05,0.009265224203634525
2019-04-08,0.004969739273542479
2019-04-09,-0.0041929516307713825
2019-04-10,0.007958856979401666
2019-04-11,-0.007466394707050001
2019-04-12,0.0016408323136472593
2019-04-15,0.00018389616051667636
2019-04-16,0.0036375700211336358
2019-04-17,0.00969217163487536
2019-04-18,0.008467487419100217
2019-04-22,-0.004071564422330801
2019-04-23,0.01238795424770807
2019-04-24,-0.005651319384803365
2019-04-25,0.00393078428658003
2019-04-26,-0.008022682400995313
2019-04-29,0.004851995833996496
2019-04-30,-0.006285669295718209
2019-05-01,0.005582965049079321
2019-05-02,-0.0007202678217444938
2019-05-03,0.022015910565565948
2019-05-06,-0.008194818162899714
2019-05-07,-0.024932244087888848
2019-05-08,-0.001560852182487105
2019-05-09,-0.006071741079377399
2019-05-10,-0.0012990252791587231
2019-05-13,-0.044330440568445637
2019-05-14,0.015138779024764331
2019-05-15,0.010549957054860065
2019-05-16,0.005913402522654675
2019-05-17,-0.018434374694126912
2019-05-20,-0.022949222150589314
2019-05-21,0.009354931860577322
2019-05-22,-0.015490275173387587
2019-05-23,-0.00910906414970228
2019-05-24,-0.00563886638190753
2019-05-28,-0.0035281179311145022
2019-05-29,-0.005009120226755363
2019-05-30,0.0032576087488663573
2019-05-31,-0.016999255260700206
2019-06-03,-0.023653400267094657
2019-06-04,0.04050989356799209
2019-06-05,0.018579622326400272
2019-06-06,0.020901630727525614
2019-06-07,0.02132755111518657
2019-06-10,0.016071637633339735
2019-06-11,0.006097235378214362
2019-06-12,-0.009534765182855167
2019-06-13,0.006604782426310038
2019-06-14,-0.0014401875158473107
2019-06-17,0.011844535319758497
2019-06-18,0.016427494392764325
2019-06-19,0.002009379728740605
2019-06-20,0.0019407889562554357
2019-06-21,0.0005598163487547426
2019-06-24,0.0036562329980199823
2019-06-25,-0.022886206923702836
2019-06-26,0.00945714476258251
2019-06-27,0.003426412616194171
2019-06-28,-0.003519197167243859
2019-07-01,0.01553895924560666
2019-07-02,0.0031367282878328523
2019-07-03,0.014068098480093338
2019-07-05,-0.00295856852483298
2019-07-08,-0.010179668734332023
2019-07-09,0.00046299630446207455
2019-07-10,0.015008135955911502
2019-07-11,-0.001131295819196759
2019-07-12,0.009259653205897755
2019-07-15,0.009573412725933974
2019-07-16,-0.007960886661109017
2019-07-17,-0.0029923633563283224
2019-07-18,0.003804771911858832
2019-07-19,-0.0017510536103351273
2019-07-22,0.012823438369182136
2019-07-23,0.008842834779955644
2019-07-24,0.007407341251034805
2019-07-25,-0.02850813256315751
2019-07-26,0.004418937933146076
2019-07-29,0.008470918978604441
2019-07-30,0.0010364942906957884
2019-07-31,-0.005801003211917424
2019-08-01,-0.007977587300611034
2019-08-02,-0.011322029523578305
2019-08-05,-0.03956175787545578
2019-08-06,0.017441833718985146
2019-08-07,0.007877088589085406
2019-08-08,0.023940521632202
2019-08-09,-0.009367187603386031
2019-08-12,-0.011642826304059967
2019-08-13,0.029758521528916886
2019-08-14,-0.036127182908198996
2019-08-15,-0.006069154146414742
2019-08-16,0.020543725725428237
2019-08-19,0.02001349145557201
2019-08-20,-0.004492396840118417
2019-08-21,0.005249094004310355
2019-08-22,-0.0025877134354271684
2019-08-23,-0.040111838719980454
2019-08-26,0.017064908731216487
2019-08-27,-0.003992759682311772
2019-08-28,0.0031112608881528224
2019-08-29,0.01982751788246877
2019-08-30,0.00173839016372184
